commentId;hotelSequence;userAlias;date;section;text;sentimentTopic;sentimentText;categoryMatch;category;score
330950;50123;;01/06/2013 5:08:55;POS;"Great location";location;Great;Great;quality;4,00
330950;50123;;01/06/2013 5:08:55;POS;"Great location";location;Great;location;location;4,00
330952;148611;;01/06/2013 8:28:32;POS;"house keeping staff were very good.";house,keeping,staff;very,good;staff;staff;4,00
330952;148611;;01/06/2013 8:28:32;POS;"rooms were nice and clean.";rooms;nice,clean;clean;condition;4,00
330952;148611;;01/06/2013 8:28:32;POS;"rooms were nice and clean.";rooms;nice,clean;rooms;room;4,00
330952;148611;;01/06/2013 8:28:32;POS;"the gardeners did a wonderful job with the gardens keeping them well maintained.";gardens,keeping;well,maintained;gardens;hotel;2,00
330956;69559;OldFella;01/06/2013 10:05:18;POS;"The courteous friendliness of the staff, quality of the food and the Arabic architecture all help to make this complex very special.";friendliness,staff;courteous;courteous;staff;2,00
330956;69559;OldFella;01/06/2013 10:05:18;POS;"The courteous friendliness of the staff, quality of the food and the Arabic architecture all help to make this complex very special.";friendliness,staff;courteous;friendliness;staff;2,00
330956;69559;OldFella;01/06/2013 10:05:18;POS;"The courteous friendliness of the staff, quality of the food and the Arabic architecture all help to make this complex very special.";friendliness,staff;courteous;staff;staff;2,00
330957;139951;jdLondon;01/06/2013 10:12:16;POS;"Amazing hotel near the centre.";hotel;Amazing,near;Amazing;quality;5,00
330960;115927;PJ;01/06/2013 10:30:52;POS;"very clean, no bath, but large walk-in shower was excellent.";bath;very,clean;clean;condition;4,00
330960;115927;PJ;01/06/2013 10:30:52;POS;"very clean, no bath, but large walk-in shower was excellent.";shower;excellent;excellent;quality;3,00
330960;115927;PJ;01/06/2013 10:30:52;POS;"very clean, no bath, but large walk-in shower was excellent.";walk;large;large;size;1,00
330960;115927;PJ;01/06/2013 10:30:52;POS;"very clean, no bath, but large walk-in shower was excellent.";shower;excellent;shower;bathroom;3,00
330962;7163;Jasi1;01/06/2013 10:53:53;POS;"The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.";bathroom;clean;bathroom;bathroom;2,00
330962;7163;Jasi1;01/06/2013 10:53:53;POS;"The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.";bed;comfy;bed;room;2,00
330962;7163;Jasi1;01/06/2013 10:53:53;POS;"The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.";bathroom;clean;clean;condition;2,00
330962;7163;Jasi1;01/06/2013 10:53:53;POS;"The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.";bed;comfy;comfy;comfort;2,00
330962;7163;Jasi1;01/06/2013 10:53:53;POS;"The bedroom and bathroom were clean, the bed was comfy, there were coffee making facilities in the room, free wi-fi - what more do you need on a city break.";wi;free;free;features;1,00
330965;151569;Izaak Gossen;01/06/2013 11:07:28;NEG;"The breakfast is not up to standard to this hotel.";breakfast,standard;not;breakfast;food and drinks;-1,00
330967;36761;;01/06/2013 11:17:21;POS;"Great place to stay, convenient for road network, friendly and clean";road,network;friendly,clean;clean;condition;4,00
330967;36761;;01/06/2013 11:17:21;POS;"Great place to stay, convenient for road network, friendly and clean";road,network;friendly,clean;friendly;staff;4,00
330967;36761;;01/06/2013 11:17:21;POS;"Great place to stay, convenient for road network, friendly and clean";place;Great;Great;quality;4,00
330968;15178;Johanna;01/06/2013 11:21:31;POS;"location of the hotel is great, very central and close to the tube.";location,hotel;very,central,close;central;location;3,00
330968;15178;Johanna;01/06/2013 11:21:31;POS;"location of the hotel is great, very central and close to the tube.";location,hotel;very,central,close;close;location;3,00
330968;15178;Johanna;01/06/2013 11:21:31;POS;"location of the hotel is great, very central and close to the tube.";location,hotel;great;great;quality;4,00
330968;15178;Johanna;01/06/2013 11:21:31;POS;"location of the hotel is great, very central and close to the tube.";location,hotel;great;location;location;4,00
330968;15178;Johanna;01/06/2013 11:21:31;POS;"location of the hotel is great, very central and close to the tube.";location,hotel;very,central,close;location;location;3,00
330973;157379;Single;01/06/2013 0:11:29;NEG;"building site noise constant from 7.";building,site;noise;building;hotel;-3,00
330973;157379;Single;01/06/2013 0:11:29;NEG;"building site noise constant from 7.";building,site;noise;noise;noise;-3,00
330973;157379;Single;01/06/2013 0:11:29;NEG;"Should of a time limit for working being so close to a Hotel.";time,limit;so,close;close;location;2,50
330973;157379;Single;01/06/2013 0:11:29;NEG;"Should of a time limit for working being so close to a Hotel.";time,limit;working;working;condition;1,00
330973;157379;Single;01/06/2013 0:11:29;POS;"Staff very friendly and helpful  Impressed with the professionalism of the staff  Everything had quailty.";professionalism,staff;helpful;helpful;staff;2,00
330973;157379;Single;01/06/2013 0:11:29;POS;"Staff very friendly and helpful  Impressed with the professionalism of the staff  Everything had quailty.";professionalism,staff;helpful;staff;staff;2,00
330976;17845;;01/06/2013 0:57:57;NEG;"Really pleased you have made internet freely available as this was problematic in the past.";internet;available;internet;features;2,00
330978;96534;Drebosaurus;01/06/2013 1:52:35;NEG;"The food in the restaurant was limited and repetitive .";food,restaurant;limited,repetitive;food;food and drinks;-2,50
330978;96534;Drebosaurus;01/06/2013 1:52:35;NEG;"The food in the restaurant was limited and repetitive .";food,restaurant;limited,repetitive;restaurant;food and drinks;-2,50
