hotelSequence;hotelName;destinationCode;averageRoom;averageFacilities;averageClean;averageFood;averagePersonal;averageCheckin;averageQuality;travelmodePleasure;travelmodeFriends;travelmodeBusiness;companionAlone;companionPartner;companionFamily;companionFriends;companionColleagues;recomendationIndividuals;recomendationCouples;recomendationFamilies;recomendationGroups;recomendationBusiness;numberReviews;mailsEnviados;mediumValue
6.553;Strand Palace;LON;4;4;4;4;4;5;4;9;1;3;4;4;4;1;0;10;9;8;4;7;13;49;4
103.815;Citea la Defense Charras;PAR;5;0;5;0;4;4;5;1;0;0;1;0;0;0;0;1;1;1;1;1;1;4;5
74.253;Lone Pine Hotel Penang;PEN;5;5;5;4;5;0;4;2;0;0;0;0;2;0;0;2;2;2;1;1;2;29;5
93.282;Appart City Nantes Cite des Congres;NAN;4;4;4;5;5;5;5;2;2;3;2;3;1;1;0;5;5;6;3;1;7;37;4
14.390;Valle del Este Golf Spa Beach;LEI;4;4;4;4;4;4;4;30;2;0;1;15;11;5;0;8;19;23;8;4;32;108;4
90.778;Hammerstein Lodge;KMP;4;3;4;4;4;0;3;4;0;0;0;3;1;0;0;3;1;2;3;0;4;17;3
143.900;Premier Inn Gatwick Manor Royal;LON;5;5;5;3;5;0;3;0;0;2;2;0;0;0;0;2;2;1;1;2;2;21;4
2.021;Tres Anclas (Oferta con Palacio Ducal+Spa incl.);CVA;4;4;4;3;4;4;4;30;1;0;1;12;14;3;1;10;15;24;10;1;31;113;4
164.483;Sifawy Boutique Hotel;MCT;4;3;4;4;4;0;3;1;0;0;0;0;1;0;0;1;1;1;1;0;1;2;4
185.592;Gelli Apartments;KSS;5;5;5;5;5;0;5;1;0;0;0;0;1;0;0;1;1;1;1;0;1;3;5
126.725;SuiteHotel Marrakech;RAK;4;3;4;3;2;0;3;4;0;0;0;2;0;2;0;2;3;2;2;2;4;11;3
3.894;Fontan Cozumel Dive Resort;PAV;5;5;5;4;4;5;5;3;1;0;0;2;1;1;0;1;4;3;1;0;4;10;5
122.902;Oreanda Premier Hotel;RMA;4;5;5;4;4;0;4;1;0;0;0;0;1;0;0;1;1;1;1;0;1;4;4
88.916;Meininger Hotel Berlin Senefelderplatz;BER;4;4;4;4;4;4;4;8;0;1;3;0;1;5;0;5;4;1;7;0;9;28;4
